# k pk_pkd pk_ref pk_pkd-SN pk_ref-SN
1.906928e+00 3.989880e+03 3.962732e+03 1.514601e+03 1.503675e+03
1.913202e+00 4.011462e+03 3.984712e+03 1.536184e+03 1.525656e+03
1.919482e+00 4.041185e+03 4.008270e+03 1.565906e+03 1.549213e+03
1.925770e+00 4.049181e+03 4.024432e+03 1.573903e+03 1.565375e+03
1.932065e+00 4.081152e+03 4.058315e+03 1.605874e+03 1.599258e+03
1.938341e+00 4.107046e+03 4.071108e+03 1.631768e+03 1.612051e+03
1.944608e+00 4.121448e+03 4.094111e+03 1.646169e+03 1.635054e+03
1.950897e+00 4.154667e+03 4.122193e+03 1.679389e+03 1.663136e+03
1.957188e+00 4.190480e+03 4.166493e+03 1.715202e+03 1.707436e+03
1.963475e+00 4.196846e+03 4.175235e+03 1.721568e+03 1.716179e+03
1.969755e+00 4.228167e+03 4.205486e+03 1.752889e+03 1.746429e+03
1.976041e+00 4.261593e+03 4.227584e+03 1.786315e+03 1.768528e+03
1.982333e+00 4.289961e+03 4.267889e+03 1.814683e+03 1.808833e+03
1.988612e+00 4.323781e+03 4.295312e+03 1.848503e+03 1.836255e+03
1.994888e+00 4.348869e+03 4.309738e+03 1.873591e+03 1.850681e+03
2.001173e+00 4.376659e+03 4.339956e+03 1.901381e+03 1.880899e+03
2.007453e+00 4.408855e+03 4.373392e+03 1.933577e+03 1.914335e+03
2.013727e+00 4.439809e+03 4.406559e+03 1.964531e+03 1.947502e+03
2.020011e+00 4.468680e+03 4.434322e+03 1.993402e+03 1.975265e+03
2.026304e+00 4.502202e+03 4.490693e+03 2.026924e+03 2.031636e+03
2.032587e+00 4.524447e+03 4.486407e+03 2.049168e+03 2.027350e+03
2.038861e+00 4.575213e+03 4.543524e+03 2.099935e+03 2.084468e+03
2.045145e+00 4.575638e+03 4.545449e+03 2.100360e+03 2.086392e+03
2.051437e+00 4.642380e+03 4.584803e+03 2.167102e+03 2.125746e+03
2.057724e+00 4.677496e+03 4.643707e+03 2.202218e+03 2.184650e+03
2.064004e+00 4.733610e+03 4.708819e+03 2.258332e+03 2.249762e+03
2.070293e+00 4.750250e+03 4.725394e+03 2.274972e+03 2.266337e+03
2.076585e+00 4.791467e+03 4.749042e+03 2.316189e+03 2.289986e+03
2.082854e+00 4.848289e+03 4.805676e+03 2.373011e+03 2.346619e+03
2.089123e+00 4.878507e+03 4.853670e+03 2.403228e+03 2.394613e+03
2.095417e+00 4.906683e+03 4.879908e+03 2.431404e+03 2.420852e+03
2.101703e+00 4.958732e+03 4.918749e+03 2.483454e+03 2.459692e+03
2.107973e+00 4.980507e+03 4.972198e+03 2.505228e+03 2.513141e+03
2.114256e+00 5.028080e+03 5.018781e+03 2.552802e+03 2.559725e+03
2.120538e+00 5.090213e+03 5.059798e+03 2.614935e+03 2.600742e+03
2.126821e+00 5.116791e+03 5.104271e+03 2.641513e+03 2.645214e+03
2.133107e+00 5.181020e+03 5.137286e+03 2.705742e+03 2.678229e+03
2.139400e+00 5.197299e+03 5.181553e+03 2.722021e+03 2.722497e+03
2.145689e+00 5.268444e+03 5.247892e+03 2.793165e+03 2.788835e+03
2.151958e+00 5.320327e+03 5.290022e+03 2.845049e+03 2.830966e+03
2.158240e+00 5.356212e+03 5.325759e+03 2.880933e+03 2.866703e+03
2.164530e+00 5.409041e+03 5.364719e+03 2.933763e+03 2.905663e+03
2.170817e+00 5.460609e+03 5.431037e+03 2.985331e+03 2.971980e+03
2.177099e+00 5.509342e+03 5.464107e+03 3.034064e+03 3.005050e+03
