# k pk_pkd pk_ref pk_pkd-SN pk_ref-SN
1.825239e+00 3.944047e+03 3.726676e+03 1.340917e+03 1.267619e+03
1.831524e+00 3.965621e+03 3.737596e+03 1.362491e+03 1.278539e+03
1.837810e+00 3.983471e+03 3.752929e+03 1.380341e+03 1.293873e+03
1.844096e+00 4.004991e+03 3.778917e+03 1.401862e+03 1.319860e+03
1.850377e+00 4.018973e+03 3.784259e+03 1.415843e+03 1.325202e+03
1.856661e+00 4.037807e+03 3.808094e+03 1.434678e+03 1.349037e+03
1.862944e+00 4.059622e+03 3.826118e+03 1.456492e+03 1.367061e+03
1.869222e+00 4.088009e+03 3.856366e+03 1.484879e+03 1.397310e+03
1.875508e+00 4.093773e+03 3.865731e+03 1.490644e+03 1.406675e+03
1.881795e+00 4.100311e+03 3.873109e+03 1.497181e+03 1.414053e+03
1.888078e+00 4.139082e+03 3.905694e+03 1.535952e+03 1.446637e+03
1.894352e+00 4.156078e+03 3.928710e+03 1.552948e+03 1.469653e+03
1.900638e+00 4.183579e+03 3.941382e+03 1.580449e+03 1.482325e+03
1.906928e+00 4.201990e+03 3.962732e+03 1.598861e+03 1.503675e+03
1.913202e+00 4.222791e+03 3.984712e+03 1.619661e+03 1.525656e+03
1.919482e+00 4.252255e+03 4.008270e+03 1.649126e+03 1.549213e+03
1.925770e+00 4.264155e+03 4.024432e+03 1.661025e+03 1.565375e+03
1.932065e+00 4.297002e+03 4.058315e+03 1.693872e+03 1.599258e+03
1.938341e+00 4.323529e+03 4.071108e+03 1.720400e+03 1.612051e+03
1.944608e+00 4.338461e+03 4.094111e+03 1.735332e+03 1.635054e+03
1.950897e+00 4.374402e+03 4.122193e+03 1.771273e+03 1.663136e+03
1.957188e+00 4.411911e+03 4.166493e+03 1.808782e+03 1.707436e+03
1.963475e+00 4.417747e+03 4.175235e+03 1.814618e+03 1.716179e+03
1.969755e+00 4.451980e+03 4.205486e+03 1.848850e+03 1.746429e+03
1.976041e+00 4.484532e+03 4.227584e+03 1.881403e+03 1.768528e+03
1.982333e+00 4.513325e+03 4.267889e+03 1.910195e+03 1.808833e+03
1.988612e+00 4.552940e+03 4.295312e+03 1.949811e+03 1.836255e+03
1.994888e+00 4.573130e+03 4.309738e+03 1.970001e+03 1.850681e+03
2.001173e+00 4.609518e+03 4.339956e+03 2.006388e+03 1.880899e+03
2.007453e+00 4.639658e+03 4.373392e+03 2.036528e+03 1.914335e+03
2.013727e+00 4.672750e+03 4.406559e+03 2.069621e+03 1.947502e+03
2.020011e+00 4.702043e+03 4.434322e+03 2.098914e+03 1.975265e+03
2.026304e+00 4.740263e+03 4.490693e+03 2.137134e+03 2.031636e+03
2.032587e+00 4.765131e+03 4.486407e+03 2.162001e+03 2.027350e+03
2.038861e+00 4.817190e+03 4.543524e+03 2.214061e+03 2.084468e+03
